text,true_emotion,predicted_emotion
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
#oow16 #sting decent new song,anger,joy
@danbloom1 beware the fury of a weak king,anger,anger
The rage has died down.,anger,sadness
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
Literally fuming fuck sake,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,anger
@DJ_JeanFranko growl!!!,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
All Brian does is sleep and aggravate me,anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",fear,anger
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear,sadness
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
"Honestly, there are some awful people on the internet... smh...",fear,anger
That's an awful miss from Rooney.,fear,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,anger
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear,fear
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear
@harrietemmett great minds think alike. #rejoice,joy,joy
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@harrietemmett great minds think alike. ,joy,joy
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
"it gets better. without explanation; you just wake up one morning and you’re just happy, totally and utterly elated.",joy,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
Somebody who has braved the storm is brewing. ,joy,anger
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
Should of stayed in Dubai 😞,sadness,sadness
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,sadness,joy
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,anger
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,joy
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
